property_subtype,price,rooms_number,area,postcode,locality,longitude,latitude
APARTMENT,425000,3.0,125.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,449000,3.0,139.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,455000,3.0,146.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,435000,3.0,140.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,395000,4.0,152.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
PENTHOUSE,625000,3.0,164.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,395000,3.0,128.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,458000,3.0,109.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,290000,2.0,91.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,270000,1.0,55.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
PENTHOUSE,840000,4.0,274.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,249000,2.0,75.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,298000,2.0,95.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,280000,2.0,100.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,330000,2.0,103.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,375000,2.0,105.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
DUPLEX,775000,4.0,218.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
DUPLEX,825000,4.0,238.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
DUPLEX,890000,4.0,220.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,299999,2.0,90.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
PENTHOUSE,369000,2.0,103.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,450000,2.0,116.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,650000,3.0,164.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
PENTHOUSE,775000,4.0,238.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,330000,3.0,104.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
FLAT,174000,0.0,40.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,379000,2.0,97.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
DUPLEX,464500,2.0,137.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,499000,3.0,124.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,315000,2.0,81.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
PENTHOUSE,775000,4.0,238.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
DUPLEX,541000,2.0,138.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,490000,4.0,177.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,350000,2.0,100.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,450000,3.0,150.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,170000,1.0,59.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,325000,2.0,84.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,379000,2.0,111.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,315000,2.0,83.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,585000,3.0,136.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,449000,3.0,137.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,244000,2.0,86.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,350000,2.0,106.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,390000,2.0,90.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,500000,3.0,150.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,500000,3.0,150.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
DUPLEX,479000,2.0,135.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,379000,2.0,97.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,445000,2.0,99.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,541000,2.0,138.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
PENTHOUSE,754500,2.0,159.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,480000,2.0,135.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,249000,2.0,90.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,395000,3.0,90.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,159000,1.0,60.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,380000,3.0,107.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
PENTHOUSE,464500,2.0,137.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
PENTHOUSE,479000,2.0,135.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,499000,3.0,124.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
DUPLEX,775000,4.0,238.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,615000,3.0,176.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,440000,2.0,100.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,395000,2.0,115.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
PENTHOUSE,754500,2.0,159.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,445000,3.0,120.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
PENTHOUSE,995000,4.0,260.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
FLAT,174000,1.0,43.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
GROUND-FLOOR,349000,2.0,100.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
LOFT,480000,2.0,135.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,485000,3.0,139.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,275000,2.0,78.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,350000,3.0,107.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
FLAT,149000,0.0,35.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,245000,1.0,68.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,495000,3.0,144.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,310000,2.0,89.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,499000,3.0,160.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,598000,3.0,138.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,625000,3.0,164.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
DUPLEX,775000,4.0,238.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,275000,2.0,70.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
PENTHOUSE,375000,2.0,108.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,445000,2.0,100.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,345000,2.0,90.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,585000,2.0,136.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,240000,1.0,65.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
PENTHOUSE,580000,4.0,170.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
DUPLEX,675000,3.0,169.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
DUPLEX,464500,2.0,137.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,470000,3.0,113.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,330000,3.0,115.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
GROUND-FLOOR,340000,2.0,75.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,335000,2.0,84.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,225000,2.0,70.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,295000,2.0,82.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,550000,4.0,230.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,634000,4.0,182.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
PENTHOUSE,385000,3.0,108.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,483000,3.0,115.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
FLAT,150000,0.0,35.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
GROUND-FLOOR,520000,2.0,222.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,259000,3.0,100.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,315000,2.0,115.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
LOFT,480000,2.0,135.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,270000,2.0,82.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,185000,1.0,45.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
DUPLEX,374000,2.0,106.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
DUPLEX,405000,2.0,106.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,170000,2.0,0.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,320000,2.0,95.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,345000,2.0,92.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,625000,3.0,164.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,498000,3.0,135.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,230000,1.0,0.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
DUPLEX,415000,3.0,129.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,275000,3.0,100.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,303000,1.0,64.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,413000,2.0,92.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,503000,3.0,130.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
GROUND-FLOOR,474000,3.0,113.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
FLAT,225000,1.0,27.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
GROUND-FLOOR,386000,2.0,88.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,200000,1.0,60.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
PENTHOUSE,250000,2.0,0.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
FLAT,214000,1.0,0.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,335000,2.0,89.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
LOFT,318000,1.0,78.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,289000,1.0,67.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
MANSION,895000,6.0,415.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,735000,6.0,250.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
DUPLEX,775000,4.0,238.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
DUPLEX,840000,4.0,220.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,625000,3.0,164.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
FLAT,130000,,26.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,385000,2.0,100.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,420000,3.0,120.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,750000,4.0,210.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,639000,3.0,140.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,639000,3.0,140.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,259000,3.0,100.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,585000,2.0,136.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,340000,2.0,85.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
LOFT,480000,2.0,135.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,535000,3.0,160.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,1200000,6.0,245.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,250000,1.0,50.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,1200000,5.0,270.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
PENTHOUSE,464500,2.0,137.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
PENTHOUSE,479000,2.0,135.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,315000,1.0,82.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,735000,4.0,250.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,330000,2.0,110.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,249000,1.0,80.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,249000,2.0,90.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,315000,2.0,115.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,275000,3.0,100.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT-BLOCK,1250000,3.0,280.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,245000,1.0,68.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
GROUND-FLOOR,599000,4.0,129.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
PENTHOUSE,860000,3.0,150.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,350000,2.0,105.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,330000,3.0,104.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,395000,3.0,90.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
TOWN-HOUSE,995000,5.0,410.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,665000,6.0,285.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,625000,3.0,164.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,270000,1.0,55.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
FLAT,149000,,35.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,455000,3.0,146.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,420000,2.0,110.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
FLAT,150000,,35.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,498000,3.0,135.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,435000,3.0,140.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,185000,1.0,62.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,335000,2.0,89.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,295000,2.0,82.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,425000,3.0,125.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,350000,3.0,107.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,295000,3.0,108.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
PENTHOUSE,754500,2.0,159.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,303000,1.0,64.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,413000,2.0,92.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
GROUND-FLOOR,386000,2.0,88.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,483000,3.0,115.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,503000,3.0,130.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
GROUND-FLOOR,474000,3.0,113.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,299000,2.0,87.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,219000,1.0,68.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,239000,1.0,70.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,298000,2.0,95.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT,310000,2.0,89.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,715000,4.0,186.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,645000,6.0,265.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,545000,4.0,235.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,1200000,5.0,270.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,590000,3.0,300.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT-BLOCK,1750000,7.0,550.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,790000,3.0,201.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,645000,6.0,265.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,715000,4.0,186.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,550000,4.0,180.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT-BLOCK,550000,3.0,160.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,545000,5.0,280.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,1695000,4.0,485.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
VILLA,1595000,4.0,400.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,550000,3.0,176.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,750000,4.0,230.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,845000,6.0,294.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,895000,5.0,331.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,525000,3.0,122.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT-BLOCK,775000,5.0,220.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,535000,3.0,160.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,2650000,7.0,550.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
MANSION,789000,5.0,220.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,755000,5.0,220.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
APARTMENT-BLOCK,1500000,10.0,600.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,1500000,10.0,600.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
VILLA,1595000,4.0,400.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,710000,6.0,250.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
HOUSE,475000,5.0,290.0,1200,Woluwe-Saint-Lambert,4.428484200000001,50.84669279999999
